RATE,Role,Seniority,Location,Years,Company,Gender,Union
900 CAD/week,2D animator,Intermediate,Ontario ,2,,Female,No
"CAD 54,000",VFX Coord,Entry level,Vancouver,1,,Female,no
"110,000/year",Senior Animator/Motion Designer,Senior,New York City,11,Paramount,Female,No
1250 CAD,Storyboard Artist,Junior,Vancouver,1 year,,Male,No
53000 CAD,Production coordinator ,Junior ,Vancouver ,3,,Female,
50000CAD/year,FX Artist,Junior,Toronto,0,,Male,No
26000/- Rs,Lighting ,Junior ,India,1,Technicolor ,Female,Yes
$20/hr,Visual Development Artist,Junior,SF Bay Area,<1,,Female,No
"$150,000/yr (US Dollars)",Visdev Artist,Senior,"Bay Area, CA",15,Kuku,Male,No
18.75 USD / HR,Production Assistant,Entry Level,Los Angeles ,0,Nickelodeon,Female,No
$92.50 p/hr (USD),Showrunner/EP,-,Burbank,6+,Nickelodeon,Female,TAG
56000cad,3D animator,mid,toronto,3,Jam filled,Female,
56000 CAD annual,Generalist on ToonBoomHarmorny,senior,"Canada, Montreal",10,Tonic DNA,Female,no
32000.00,3D Animator,Junior,Hyderabad,4,Hornbill studios,Male,No
"$62,400 CAD",3D Modeller,Junior,Vancouver,1,Wildbrain,Female,Nope
24.000€/year,Lighting and Compositing artist,Junior,"Madrid, Spain",1 year,Skydance Animation Madrid,Female,
"$120,000 USD",2D Animator,Lead,San Francisco,15,Jam City,Male,No
"46,000 CAD",Lighting Artist,Junior,"Montreal, Canada",0,MPC,Female,No
71 000 CAD/year,3D animator,Junior (<1y),"Montréal, QC Canada",7 months,MPC Montréal,Male,no
110000 us dollars plus 19 shares,3d Character animator ,Senior I think lol,Los Angeles ,20 off and on,Amazon Games,Male,No
6800.00,3D Character artist,Mid,Malaysia,12,,Male,no
"£48,000",TD,Mid,London,2,,Male,
950 /wk CAD,Storyboard artist,Junior,"Toronto, Canada",0-1,,Female,No
150 euros per day before taxes ,Animator,Middle,Paris,3,Fost,Female,
"2,800 €",2 animation supervisor,middle,france,5,,Female,
130.00,2D puppet Animator,Junior,Angoulême,1,,Male,
500 USD Month,TD clean up Artist,Junior,Remote ,6 months,Mighty,Female,No
80K CAD,3D Animator,Intermediate,Vancouver,"9.5 yrs in the industry, 8yrs in 3D feature animation",Sony Pictures Imageworks,Female,No
SGD $2650 monthly,Motion Graphics Designer,Junior,Singapore,3,,Other,-
"£28,000",3D animator,Mid,Uk,2,,Female,
300 USD/per storyboard (flat rate),Storyboard artist,n/a,USA,6 years,Ross Bollinger Animation ,Male,No
$32.50/hr US Dollars,Puppet fabricator,Senior,"Portland, OR",10,ShadowMachine,Female,No
$35/hr US dollars,Puppet fabricator/Costumer,Mid,Portland OR,10,Netflix,Female,No
1400/week USD,Storyboard artist ,Mid,Vancouver,4,,Female,No
140 euros per day,Texture artist and modeling,Junior,Remote,1,,Male,no
300£,Animator,MID,London,5+,,Male,no
AUD 70000,MTA,Mid,Sydney,1,,Female,No
32000.00, Final Layout artist,Senior,Madrid,9,SDA,Female,No
"£20,000",Flame Op,Trainee,Wales,1,,Female,
£ 55000 annual,Key artist (animation),Senior,London,16,MPC Film,Male,
50000 CAD,Rigging TD,Junior,Montreal Canada,1,,Female,
22.00 €,Production TD,Junior,Spain,0,,Female,
"24,000 €",VFX Compositor,Mid,Madrid,5,Telson,Male,No
34000€/year,Light/Comp artist,Senior,Spain,10,Skydance Animation,Male,yes
£250 / day,Compositor,Mid,"London, UK",6,Jellyfish Pictures,Male,No
60000.00,Assistant,Junior,San Francisco,3,,Female,No
1080/wk ($27/hr) USD,Asset Production Coordinator,Mid/Junior,Los Angeles,1,Nickelodeon,Female,"Nope, but it would be nice."
35.00£,3D camera track layout ,Mid,Uk ,4,,Female,
3000Eur/month,3D Animator,Mid,Germany,~10years,Indie game studio,Male,no
$62k annual,Storyboard Artist,Junior,Toronto,<1,,,No
1500CAD/wk,Storyboard Artist,Junior/Mid,Vancouver (Toronto-remote),2,Atomic Cartoons,Male,No
$49400 AUD,Production Assistant,Junior,Brisbane,1,Liquid Animation,Female,
45000 AUD/year,VFX Artist,Junior,Australia,0,,Male,no
3500 - 3750 CAD/weekly,Storyboard Artist (Feature),Intermediate,Toronto,3,Various US feature studios,Female,No
1500CAD/week,storyboard revisionist,junior,"toronto, canada",1 yr,Industrial Brothers,Non Binary,No
$76.74/Hour (CAD),Storyboard Artist (Feature),Not specified,"Toronto, Canada (Remote work)",First story feature gig,Netflix,Female,No
60k CAD ish,2D Design,Senior,Toronto,2,,Non Binary,Haha no.
864 USD Weekly,2D Compositor ,Junior,"Austin, Texas",2,Powerhouse ANimation,Male,No
1400 USD Weekly,2D Compositor,Junior,LA,2,Titmouse,Male,Yes
108000.00,Modeler,Lead,Montreal,11,Cinesite Montreal,Male,No
$1350/w CAD,Storyboard revisionist,junior,"Vancouver, BC",1 year,Doberman Pictures,Female,no
$1800 CAD / Week,3D Storyboard Artist,Mid-Senior? ??? ?,Toronto,3 years out of school ,Jam Filled,Male,n o
1600 CAD/week,2D Layout and Paint Supervisor,Mid-level,Vancouver,7,Atomic Cartoons,Female,No
800 weekly before tax,2D animator,Junior,Ottawa,1 year 8 month,,Female,no
$1050 CAD/week,Background Painter,Junior,Vancouver,2,Titmouse,Male,CAG IATSE Local 938
1100cad,Harmony builds,Jr,Canada,2,Atomic,Male,No
" $2,280 wk / $57 hr (USD)",Background Designer,Journeyman,Remote,44595,Warner Bros Animation,Non Binary,IATSE 839
$21 USD/Hr,Background Artist,Senior,Atlanta GA USA,2,Floyd County Productions,Female,No
P22250 Monthly (Philippine Pesos),2D Animator/Interim Animation Lead,Junior,"Cavite, Philippines",3 Years,Definite Studios,Non Binary,"Sadly, no animation unions in the PH"
1700CAD/week ,Storyboard Artist,Senior,Montreal (remote),4,Atomic Cartoons,Male,No
"1,800 USD/week",Storyboard Revisions Lead,Mid-level,NYC,5,Titmouse,Female,"Yes, TAG/IATSE 839"
40k cad,animator,junior,East side of Canada,got hired with none,Big Vfx Company,Female,no
60k CAD salary,storyboard revisionist,experienced,"Ontario, Canada",5,,Female,no
1325 CAD /wk,2D Rigging,Senior,GTA,6,,Female,No
65K annually ,Animator ,Mid,Toronto,6,,Female,No
$900 CAD a week,3D modeler,Junior,Vancouver Canada,1,Atomic Cartoons,Male,No
"$62,400 yearly",Storyboard Revisionist ,Experienced/Sr,Toronto,6,Industrial Brothers,Female,No. 
"$98,800 CDN",3D Animator,Lead,Toronto,28,,Male,No
50.000 CAD/Year,3D Animator,Junior,Vancouver,1,Mainframe,Male,
95000.00,3D Asset Artist,Senior,"Brisbane, Australia ",5,,Male,
60000.00,3D Asset Artist,Lead,"North Lakes, Queensland, Australia",4,Pixel Zoo,Male,No
350000 rupes,Junior animator,Junior ,Mumbai,3,,Male,
68 000 CAD,3D Animator,Mid,Montreal,4,Cinesite,Female,No
26000 INR,Roto artist ,Mid,Chennai-India,3,Bot VFX,Male,No
1000€/month,Lighting artist,Junior,Rome,0-1y,Rainbow CGI,,No
112k CAD,Texture Painter,Senior,Vancouver,11,Sony,Female,no
45k £,Lighting Artist,Senior,Sheffield,7,Sumo Digital,Male,No
$75CAD per finished piece,BG PAINT,Freelance,Vancouver,0-1,Titmouse,Female,No
"€2,000 a month",SFX Artist ,Junior,Ireland ,1,,Female,
95000 CAD/year,Layout artist,Senior,Vancouver,9,vfx studio,Female,No
68000.00 Can,Senior 3D Animator,Senior,Vancouver BC,9,Mainframe,Female,no
1000 CAD per Week,Animation Revisionist ,Junior,Remote,3,Brown Bag Films,Non Binary,No
110£/day,2d animator,Mid,London,44656,,Female,No...
66K per year CAD,Harmony Builds Artist,Senior,Vancouver,5+,Atomic Cartoons,Male,No
"80,000 CAD",3D Animator,Senior,Vancouver,8,ICON,Female,No
"27,000 €",Lighting Artist,Mid,Madrid,4,Skydance Animation,Female,
"27,000 €",Lighting Artist,Mid,Madrid,4,Skydance Animation,Male,
"24,000 €",Lighting Artist,Mid,Guadalajara,3,Core Animation,Female,
"31,200 €",Lighting Artist,Mid,"Dublin, Ireland",2,Giant Animation,Female,
"24,000 €",Lighting Artist,Mid,Guadalajara,3,Core Animation,Male,
"31,200 €",Lighting Artist,Mid,"Dublin, Ireland",2,Giant Animation,Male,
1313 us dollars per week,Background painter,Junios,Los angeles,1 year and a half,Titmouse,Male,No
7000000 rupiah per month,Vfx artist,Mid,Indonesia,2,,Male,No
200EUR / Day,Freelance 3D Motion Design / Lighting Artist,Mid,Poland,5,,Male,--
1250 $CAD week,2D Animator,Senior,Vancouver,6,Atomic Cartoons,Female,No
1065/week CAD,3D animator,Junior,Vancouver,3 months,TV studio,Female,Nope 
$350/day,Motion designer,Mid,brazil - working remotely to us/can/europe,3,freelancer,Female,
1150 CAD/week,Background Painter,Junior,Vancouver,~2.5/3,,Male,
1700cad/week,Designer,Senior,Vancouver,8,,Female,no
70000 AUD,Motion Designer,Mid weight,Canberra Australia,4,,Male,No
"87,300 CAD",3D Animator,Intermediate,Vancouver BC,7,Sony Pictures Imageworks,Male,No
$950 USD per week,2D Layout Artist,Supervisor,Freelance for USA,4+,Small LA Studio,Male,N/A
76000/an $CA,compositing animation 3D,midle +,Montreal,6,Mikros animation,Female,nope
35$/hr,Gameplay Animator,Associate,Remote,1,EA,Male,No
17.006 euro/year ,3D animator,mid,Bulgaria,5,,Female,no
$1025 CAD/week,Production Coordinator,Junior,Toronto,0,,Non Binary,No
"780,000 INR p/a",Grooming Artist,Senior,"Mumbai, India",5 Years,Redefine Studios,Male,No
52000 CAD,3D Animator ,Junior,Montreal ,2,MPC,Male,"No, I wish"
HKD12800(~USD1640)/ month,Compositor,Junior,Hong Kong,3,,Female,
"€ 2,000",storyboard artist,junior,Italy,2 years,Galactus,Female,No union
£ / GBP 2500,Storyboard artist,junior,Italy,2 years,AProductions ltd,Female,no union here
90000 USD per annum,Pipeline TD,Mid,Los Angeles,4,Ingenuity Studios,Male,No
$52 / hour (CAD), 3D Animator,Mid,Vancouver,5,DD,Male,
"$48,500 CAD",Administrative assistant ,Executive ,"Calgary,AB",2,,Female,No
1000 CAD a week,Story revisionist,Junior,Toronto,0,ElliottAnimation,Female,No
AUD $60000/year,Restaurant Supervisor ,Junior,Melbourne ,1,,Female,
115k CAD,CFX Artist/TD,Senior,Toronto Canada,6,,Male,No
51000.00,Case Manager (Social Worker),New ,"Charlotte, NC",1,,Female,No
$40/ hour (CDN),AE animator,Junior Freelance,Vancouver,4,self-employed,Female,no
62500 CAD,3D Animator,Mid,Montreal,3,,Male,no
78K CAD/year,lighting/compositing artist,"Mid-Senior, idk",Montreal,5-6ish,,Female,no
1150 CAD/week,2D FX Artist,Junior,Vancouver,3,Atomic Cartoons,Female,No
25.000 pesos argentinos,Line prosucer,Senior,Buenos aires,20,,Female,No
$70 a second CAD,2D Harmony Animator,Senior,Canada (freelance),8,Atomic Cartoons,Female,No
£30K,3D Animator,Junior,London,6 months,,Female,No
8000EGP,Story artist ,Senior ,Egypt ,6,,Female,No
10 mil IDR (not with tax),3D Animator,Senior,West Jakarta,5,Ens,Other,no
